Coral_species Opecarcinus_hypostegus Troglocarcinus_corallicola Domecia_acanthophora Acanthemblemaria_spinosa Spirobranchus_polycerus Megabalanus
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 3
Millepora_complanata NA NA NA NA NA 7
Millepora_complanata NA NA NA NA NA 1
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 2 NA 2
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 2 NA 3
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA 2 NA 6
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA 1 NA NA
Millepora_complanata NA NA NA NA NA 3
Millepora_complanata NA NA NA 2 NA NA
Millepora_complanata NA NA NA 3 NA 1
Millepora_complanata NA NA NA 7 NA 4
Millepora_complanata NA NA NA 1 NA 2
Millepora_complanata NA NA NA NA NA NA
Millepora_complanata NA NA NA NA NA 3
Millepora_complanata NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 8 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 8 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA 4 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 15 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 5 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 4 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 8 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 2 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 3 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA 1 NA NA NA NA
Orbicella_faveolata_6m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA 2 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 3 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 14 NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 19 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 2 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 3 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 2 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
Orbicella_faveolata_15m NA NA NA NA NA NA
Orbicella_faveolata_15m NA 1 NA NA NA NA
